id;label;lib_2;lib_3;ref_externe;val_1;val_2;val_3;ordre
1;purple cross-platform Bedfordshire;purple orchestrate Licensed Soft Sausages;bandwidth even-keeled Buckinghamshire;Concrete Bermudian Dollar (customarily known as Bermuda Dollar) deliver;integrate green Baht;Sleek Soft Pants Borders Executive;SMTP system-worthy Ergonomic Rubber Pants;72541
2;Connecticut e-markets;bleeding-edge 1080p;SSL;invoice Communications;pixel Jamaican Dollar;Product Granite;Investment Account transmit Rhode Island;84868
3;Licensed Plastic Chicken;Planner;compress;auxiliary;synthesizing;Zambia withdrawal Mouse;Operations;69504
4;Organized bus compress;Surinam Dollar;wireless Suriname Practical;Configuration Principal;Corporate;calculate;invoice Concrete;87038
5;compressing programming Hong Kong Dollar;transmitting encompassing Intelligent Plastic Sausages;Qatari Rial Chair;Fantastic process improvement;invoice;revolutionize deposit;Computer Concrete efficient;42847
6;Borders online Canadian Dollar;knowledge base;Square Program;Grass-roots;reboot Home Loan Account;North Dakota Bulgaria Computers;Creative;75305
7;alarm solid state Hat;Practical Metal Keyboard;digital;feed Communications SMTP;extend;Cotton digital cross-platform;tan Managed copying;48473
8;client-server Lari;Keyboard;Intelligent;Common reciprocal generate;Small;bandwidth;Investment Account;24916
9;Borders;24/365 leading-edge;Florida budgetary management interface;Intranet;Architect syndicate Corner;benchmark seize;revolutionize innovate Health;5550
10;Associate enhance;Wooden;Orchestrator systems Rustic Rubber Gloves;payment Tasty Cotton Ball;Gorgeous Steel Shirt Buckinghamshire Mobility;Intelligent Chilean Peso Unidades de fomento;Bacon Applications Missouri;99380
